city,depart,mean
南投縣,中寮鄉,137473.10103413794
南投縣,仁愛鄉,305334.46181076916
南投縣,信義鄉,49639.74264
南投縣,南投市,214741.9653494525
南投縣,名間鄉,157548.7516678125
南投縣,國姓鄉,131516.2939967088
南投縣,埔里鎮,226110.80612144902
南投縣,水里鄉,131422.11737835163
南投縣,竹山鎮,149607.94811848106
南投縣,草屯鎮,216296.06414117813
南投縣,集集鎮,149860.8533414285
南投縣,魚池鄉,290150.437154
南投縣,鹿谷鄉,221048.9281215958
台中市,中區,225346.60617310076
台中市,北區,290448.7352198383
台中市,北屯區,276853.9472592632
台中市,南區,271213.2215682718
台中市,南屯區,348605.3195784112
台中市,后里區,245076.1348043571
台中市,和平區,107352.22446
台中市,外埔區,209372.89198387903
台中市,大安區,167149.5077522728
台中市,大甲區,205878.20247638633
台中市,大肚區,213938.66110506054
台中市,大里區,247890.54295640552
台中市,大雅區,271763.86860438145
台中市,太平區,262320.3359500432
台中市,新社區,210212.06524930062
台中市,東勢區,200368.33684435775
台中市,東區,291834.63778778614
台中市,梧棲區,190998.30898271807
台中市,沙鹿區,225796.37164743012
台中市,清水區,178006.3601829609
台中市,潭子區,284070.625519545
台中市,烏日區,267415.5800365232
台中市,石岡區,226567.52847152535
台中市,神岡區,284761.9557772742
台中市,西區,306026.639543636
台中市,西屯區,342460.96778133616
台中市,豐原區,258903.25451813437
台中市,霧峰區,250521.74603428363
台中市,龍井區,214680.38863391112
台北市,中山區,800356.7518096208
台北市,中正區,911207.935934384
台北市,信義區,865751.5507548009
台北市,內湖區,653487.5448945095
台北市,北投區,568892.0823229434
台北市,南港區,717154.4902329828
台北市,士林區,690039.7959420155
台北市,大同區,728393.8727054102
台北市,大安區,1031656.2722403237
台北市,文山區,590220.6771245674
台北市,松山區,873503.1907559742
台北市,萬華區,590061.2579808088
台南市,七股區,158585.75388609376
台南市,下營區,143681.10305399995
台南市,中西區,258809.54504892498
台南市,仁德區,226796.09914573978
台南市,佳里區,176333.8816522421
台南市,六甲區,162157.5214611559
台南市,北區,260549.45594757807
台南市,北門區,105334.59063
台南市,南化區,76748.4920976923
台南市,南區,212163.6110604
台南市,善化區,207136.87514484455
台南市,大內區,153687.40146666666
